 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030 (edição 2013)
População residente por Faixa Etária 2 e Sexo
Unidade da Federação: Acre
Período:2021
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"0 a 4 anos";41076;39368;80444
"5 a 9 anos";43075;41612;84687
"10 a 14 anos";44578;43147;87725
"15 a 19 anos";45152;43750;88902
"20 a 29 anos";81149;79577;160726
"30 a 39 anos";68181;66654;134835
"40 a 49 anos";52123;52268;104391
"50 a 59 anos";33856;34083;67939
"60 a 69 anos";20291;20599;40890
"70 a 79 anos";9113;10478;19591
"80 anos e mais";3612;4912;8524
"Total";442206;436448;878654
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030 (edição 2013)
 
